"YEAR","FIPS","AV0AA","B78AA","AV1AA","AV1AB","AT5AA","AT5AB","AL8AA","AL8AB","AL8AC","AL8AD","AL8AE","AL8AF","AL8AG","AL8AH","AL9AA","AL9AB","AL9AC","AL9AD","AL9AE","AL9AF","AL9AG","AL9AH","AL9AI","AL9AJ","AK7AA","AK7AB","AK7AC","AK7AD","AK7AE","AK7AF","AB9AA","AB9AB","AB9AC","AB9AD","AB9AE","AB9AF","AB9AG","AB9AH","AB9AI","AB9AJ","AB9AK","AB9AL","AB9AM","AB9AN","AB9AO","AB9AP","AB9AQ","AB9AR","AB9AS","AB9AT","AB9AU","AB9AV","AB9AW","AB9AX","AB9AY","AJ6AA","AJ6AB","AJ6AC","AJ6AD","AJ6AE","AJ6AF","AJ6AG","AJ6AH","AJ6AI","AJ6AJ","AJ6AK","AJ6AL","AJ6AM","AJ6AN","AJ6AO","AJ6AP","AJ6AQ","AJ6AR","AJ6AS","AJ6AT","AJ6AU","AJ6AV","AJ6AW","AJ6AX","AJ6AY","AJ6AZ","AJ6BA","AJ6BB","AJ6BC","AJ6BD","B69AA","B69AB","B69AC","B84AA","B84AB","B84AC","B84AD","B84AE","B84AF","A63AA","A63AB","A63AC","A63AD","A63AE","A63AF","BS4AA","BS4AB","BS4AC","BS4AD","BS4AE","BS4AF","BS4AG","BS4AH","BS4AI","BS4AJ","BS4AK","BS4AL","A67AA","A67AB","A67AC","A67AD","A67AE","A67AF","A67AG","A67AH","A67AI","A67AJ","A67AK","A67AL","C54AA","C54AB","C54AC","C54AD","C54AE","C54AF","C54AG","C54AH","C54AI","C50AA","C50AB","C50AC","C50AD","C50AE","C50AF","C50AG","C50AH","C98AA","BS7AA","BS7AB","BS7AC","BS7AD","B79AA","A88AA","A88AB","A88AC","A88AD","A88AE","AB2AA","BD5AA","AX6AA","CL6AA","AX7AA","AX7AB","BV8AA","BV8AB"
"2000",51001,38305,38305,18590,19715,36680,1625,22535,13983,4495,963,8010,515,162,NA,22535,13983,4495,963,8010,515,162,7,5,150,117,112,8,0,1388,0,0,0,32,3,10,27,11,0,2,2,0,12,4,14,0,19,4,89,8,0,0,794,26,568,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3078,19308,3508,18116,133,17983,16618,1365,11932,992,1744,3547,4795,6097,941,9542,130,9412,8743,669,4610,8574,3,8571,7875,696,7322,479,871,1883,2545,3201,563,513,873,1664,2250,2896,378,14839,256,256,0,0,0,422,333,454,919,2429,2813,2681,3206,1979,725,1098,364875,2186,1339,2799,8946,30250,846,757,1803,3781,3195,34821,16309,37715,6788,6788,30927,957,5291
"125",51001,33454,33454,16230,17224,31192,2262,18212,12696,4684,975,6270,767,284,NA,18212,12696,4684,975,6270,767,284,156,0,128,143,136,0,11,1972,NA,0,0,61,0,3,55,3,7,3,0,0,0,3,6,2,7,0,129,0,11,0,1213,44,715,NA,0,0,0,0,61,0,3,55,3,0,7,3,0,0,0,0,3,0,6,2,7,0,129,0,11,0,1213,44,715,NA,1642,18024,4212,16037,104,15933,14812,1121,10973,417,1369,2822,3178,7259,992,8424,85,8339,7698,641,4409,7613,19,7594,7114,480,6564,163,844,1611,1658,3593,555,254,525,1211,1520,3666,437,13372,104,96,8,0,0,480,229,380,985,1570,3086,1717,3409,2075,502,841,297405,1762,1058,1913,9553,40780,503,422,978,2649,4604,50250,22909,33012,6678,6678,26334,1002,5147
"195",51001,32673,32673,15934,16739,30148,2525,18418,11366,4579,876,5280,631,364,NA,18418,11366,4579,876,5280,631,364,156,0,208,150,201,39,5,2130,NA,0,0,71,0,0,25,0,0,0,4,0,7,0,34,9,71,3,127,39,5,0,1040,30,1060,NA,0,0,0,0,71,0,0,25,0,0,0,0,4,0,7,0,0,0,34,9,71,3,127,39,5,0,1040,30,1060,NA,1559,17372,4576,14416,178,14238,13681,557,12140,405,764,2838,2827,6399,1183,7713,166,7547,7329,218,4993,6703,12,6691,6352,339,7147,254,449,1507,1571,3259,673,151,315,1331,1256,3140,510,11929,125,124,1,0,0,500,346,707,294,1493,2372,2290,2717,2523,633,587,295090,844,665,1831,10098,46073,264,245,946,2395,5072,57711,26018,32325,6141,6141,26184,677,6603
"2000",51003,79236,79236,38002,41234,73483,5753,39195,33535,12676,6028,11796,3035,753,NA,39195,33535,12676,6028,11796,3035,753,44,28,681,1732,2127,240,107,1547,0,25,19,489,25,111,330,77,50,88,18,43,8,79,216,154,779,155,1193,240,107,3,648,335,561,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2844,25328,25675,41043,184,40859,39584,1275,20572,1517,3244,8830,11263,14778,1411,21136,161,20975,20357,618,8039,19907,23,19884,19227,657,12533,736,1629,4505,5693,7711,862,781,1615,4325,5570,7067,549,35542,640,616,18,6,24,594,326,2011,764,3099,6453,8199,9931,6076,1097,1507,828400,1976,1383,3162,25395,50749,577,506,1523,5153,13401,63407,28852,77661,5232,5232,72429,430,8756
"125",51003,99484,99484,47564,51920,89589,9895,46267,41638,15190,7016,15216,4216,1684,NA,46267,41638,15190,7016,15216,4216,1684,180,19,1485,2580,3477,757,63,3018,NA,0,34,654,15,117,396,115,37,109,0,51,25,5,540,516,1033,156,2254,757,63,44,1602,434,938,NA,0,0,36,34,654,15,117,396,115,18,37,109,0,51,25,0,5,64,422,516,1033,156,2254,757,63,44,1602,434,938,NA,2702,28554,34169,49733,258,49475,47286,2189,30576,2081,4368,10047,9980,20594,2663,25242,143,25099,24040,1059,12696,24491,115,24376,23246,1130,17880,755,2544,4948,5221,10476,1298,1326,1824,5099,4759,10118,1365,40458,1012,955,49,8,0,1216,535,3404,1021,3213,6817,9622,11182,8304,1337,1725,960450,2228,1340,2701,31280,67797,590,494,1086,3715,18225,89768,37837,93607,8321,8321,85286,643,13285
"195",51003,107405,107405,51363,56042,96238,11167,49663,44728,15408,8171,16621,4528,1847,NA,49663,44728,15408,8171,16621,4528,1847,401,37,1409,2253,4936,662,49,3267,NA,89,35,595,55,80,249,45,36,58,49,69,0,64,526,320,1312,145,3462,662,49,20,1127,334,1786,NA,0,89,8,35,595,55,80,249,45,15,36,58,49,69,0,21,64,69,434,299,1312,145,3462,662,49,20,1127,334,1786,NA,2202,30520,40215,54668,315,54353,52965,1388,33361,2176,4783,11371,10437,21439,4462,27560,270,27290,26512,778,13973,27108,45,27063,26453,610,19388,1082,2354,5639,5465,10499,2521,1094,2429,5732,4972,10940,1941,44302,1399,1342,17,40,8,1321,932,4435,1294,4404,7117,10750,12609,7938,1880,1970,1057160,1770,720,2924,36082,79880,636,191,839,3419,20884,103077,44799,100293,9142,9142,91151,881,18026
"2000",51510,128283,128283,61974,66309,95683,32600,27840,65288,21004,11976,26329,5979,2555,NA,27840,65288,21004,11976,26329,5979,2555,484,97,1974,2790,8059,7665,62,14024,0,68,38,558,18,239,517,9,96,114,17,24,87,97,568,340,561,203,7295,7665,62,143,1119,467,12295,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6282,37466,51982,80949,1861,79088,76584,2504,27815,1625,7392,27998,19958,22133,1843,41538,1409,40129,38929,1200,10566,39411,452,38959,37655,1304,17249,726,3748,14338,10610,11123,993,899,3644,13660,9348,11010,850,58645,12279,4994,7192,93,358,2289,927,2692,959,3541,7414,9888,15737,20663,10375,5921,2210800,3408,1949,4754,51857,56054,1213,866,2114,6275,17685,67023,37645,126409,11279,11279,115130,939,9547
"125",51510,140337,140337,67565,72772,105123,35214,31614,70093,20534,12296,30005,7258,3416,NA,31614,70093,20534,12296,30005,7258,3416,911,93,2412,2933,9217,9892,184,12988,NA,60,56,562,44,97,507,86,9,143,9,47,120,167,601,556,763,260,8063,9892,184,112,1789,433,10654,NA,12,60,0,56,562,44,97,507,86,35,9,143,9,47,120,0,167,151,403,556,763,260,8063,9892,184,112,1789,433,10654,NA,4216,37837,64391,93124,2448,90676,86096,4580,25087,1091,6678,31023,22296,28593,3443,47542,1752,45790,43465,2325,8907,45582,696,44886,42631,2255,16180,592,3154,15642,11970,14362,1822,499,3524,15381,10326,14231,1621,59706,18482,7252,11049,181,323,3324,1352,4148,942,4203,7566,9858,18201,23123,12246,7048,2489745,2366,1402,3326,57635,83996,587,702,1436,4415,23275,105721,54767,138832,11102,11102,127730,948,11587
"195",51510,157613,157613,75954,81659,114677,42936,33586,75911,22918,14086,30085,8822,5180,NA,33586,75911,22918,14086,30085,8822,5180,1290,99,3791,3605,10272,13788,259,15012,NA,81,31,535,53,222,413,86,73,261,43,82,41,80,858,853,1080,327,8758,13788,259,121,830,509,13552,NA,31,81,15,31,535,53,222,413,86,57,73,261,43,82,41,20,80,230,525,833,1080,327,8758,13788,259,121,830,509,13552,NA,4746,39402,75483,102738,2733,100005,96960,3045,28618,1330,5909,31341,25989,32437,5732,52248,2072,50176,48808,1368,10075,50490,661,49829,48152,1677,18543,621,2731,15398,13862,16602,3034,709,3178,15943,12127,15835,2698,66347,19637,6980,12237,420,655,4135,2356,5483,603,3991,6770,11282,19380,26959,14090,10061,2969925,2381,1239,2742,64236,100939,1053,453,1318,3947,27731,130395,62679,156261,16108,16108,140153,1182,16164
"2000",51005,12926,12926,6450,6476,12814,112,10074,2690,400,278,1852,160,50,NA,10074,2690,400,278,1852,160,50,5,10,35,35,67,0,0,10,0,0,0,14,0,0,5,9,0,0,0,0,0,0,7,0,0,0,67,0,0,0,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,882,7042,1244,5894,0,5894,5582,312,4428,208,413,1276,1640,2122,235,3364,0,3364,3222,142,1782,2530,0,2530,2360,170,2646,141,240,705,927,1236,115,67,173,571,713,886,120,5265,4,4,0,0,0,61,35,124,164,482,1113,916,1285,832,209,364,131840,410,413,758,3564,38545,144,154,551,1265,1789,45843,19635,12682,905,905,11777,212,1758
"125",51005,16297,16297,7956,8341,15985,312,12414,3516,661,354,2240,261,55,NA,12414,3516,661,354,2240,261,55,0,0,55,52,141,27,0,92,NA,0,0,11,0,3,22,0,0,0,0,0,0,0,7,9,17,0,124,27,0,0,92,0,0,NA,0,0,0,0,11,0,3,22,0,0,0,0,0,0,0,0,0,0,7,9,17,0,124,27,0,0,92,0,0,NA,808,9103,1896,7711,4,7707,7261,446,5524,275,669,1180,1810,3313,464,4011,4,4007,3745,262,2319,3700,0,3700,3516,184,3205,127,329,610,962,1762,221,148,340,570,848,1551,243,6677,53,53,0,0,0,94,75,117,285,743,1235,1226,1354,1019,533,504,168720,323,412,994,5122,46133,173,97,462,1242,2803,56250,23680,15980,1671,1671,14309,225,2974
"195",51005,15157,15157,7367,7790,14967,190,11602,3326,505,318,2338,165,39,NA,11602,3326,505,318,2338,165,39,0,0,39,55,32,0,0,103,NA,6,0,6,0,8,0,0,0,0,0,0,0,0,27,8,0,9,23,0,0,0,36,19,48,NA,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,27,8,0,9,23,0,0,0,36,19,48,NA,482,9058,1688,6180,43,6137,5865,272,6553,171,604,1118,1093,2766,428,3266,43,3223,3094,129,2777,2914,0,2914,2771,143,3776,36,336,642,623,1451,178,135,268,476,470,1315,250,5382,35,35,0,0,0,55,74,236,112,575,828,959,1289,894,374,515,142245,697,350,789,4764,47673,397,158,251,903,2524,58933,27338,14830,2925,2925,11905,307,3119
"2000",51007,11400,11400,5622,5778,11320,80,9214,2067,591,251,1113,112,39,NA,9214,2067,591,251,1113,112,39,0,0,39,31,21,0,0,28,0,0,0,14,0,0,11,0,0,0,0,0,0,0,6,0,0,0,21,0,0,6,0,11,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054,5975,760,5731,0,5731,5566,165,3063,332,378,1109,1664,2037,211,3123,0,3123,3047,76,1168,2608,0,2608,2519,89,1895,229,215,597,890,1093,99,103,163,512,774,944,112,5196,25,25,0,0,0,42,63,157,135,231,338,377,645,977,1289,1334,220825,262,261,565,3152,40252,105,184,344,1081,1466,47157,18858,11267,948,948,10319,167,1256
"125",51007,12674,12674,6272,6402,12407,267,8770,3561,1241,495,1651,174,76,NA,8770,3561,1241,495,1651,174,76,24,13,39,72,60,34,0,101,NA,0,0,28,0,0,0,0,0,0,0,0,0,44,0,0,0,22,38,34,0,0,14,25,62,NA,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,22,38,34,0,0,14,25,62,NA,562,7051,1287,5888,12,5876,5403,473,4368,178,415,1038,1414,2613,230,3173,12,3161,2895,266,1885,2715,0,2715,2508,207,2483,76,270,625,700,1352,150,102,145,413,714,1261,80,4968,23,23,0,0,0,33,45,286,89,286,414,538,534,1295,972,941,174885,253,366,386,3772,50596,135,162,220,982,2045,58065,24548,12579,1272,1272,11307,87,1907
