year,county_name,county_fips,candidate,party,candidatevotes,totalvotes,district,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,AV0AA,B78AA,AV1AA,AV1AB,AT5AA,AT5AB,AL8AA,AL8AB,AL8AC,AL8AD,AL8AE,AL8AF,AL8AG,AL8AH,AL9AA,AL9AB,AL9AC,AL9AD,AL9AE,AL9AF,AL9AG,AL9AH,AL9AI,AL9AJ,AK7AA,AK7AB,AK7AC,AK7AD,AK7AE,AK7AF,AB9AA,AB9AB,AB9AC,AB9AD,AB9AE,AB9AF,AB9AG,AB9AH,AB9AI,AB9AJ,AB9AK,AB9AL,AB9AM,AB9AN,AB9AO,AB9AP,AB9AQ,AB9AR,AB9AS,AB9AT,AB9AU,AB9AV,AB9AW,AB9AX,AB9AY,AJ6AA,AJ6AB,AJ6AC,AJ6AD,AJ6AE,AJ6AF,AJ6AG,AJ6AH,AJ6AI,AJ6AJ,AJ6AK,AJ6AL,AJ6AM,AJ6AN,AJ6AO,AJ6AP,AJ6AQ,AJ6AR,AJ6AS,AJ6AT,AJ6AU,AJ6AV,AJ6AW,AJ6AX,AJ6AY,AJ6AZ,AJ6BA,AJ6BB,AJ6BC,AJ6BD,B69AA,B69AB,B69AC,B84AA,B84AB,B84AC,B84AD,B84AE,B84AF,A63AA,A63AB,A63AC,A63AD,A63AE,A63AF,BS4AA,BS4AB,BS4AC,BS4AD,BS4AE,BS4AF,BS4AG,BS4AH,BS4AI,BS4AJ,BS4AK,BS4AL,A67AA,A67AB,A67AC,A67AD,A67AE,A67AF,A67AG,A67AH,A67AI,A67AJ,A67AK,A67AL,C54AA,C54AB,C54AC,C54AD,C54AE,C54AF,C54AG,C54AH,C54AI,C50AA,C50AB,C50AC,C50AD,C50AE,C50AF,C50AG,C50AH,C98AA,BS7AA,BS7AB,BS7AC,BS7AD,B79AA,A88AA,A88AB,A88AC,A88AD,A88AE,AB2AA,BD5AA,AX6AA,CL6AA,AX7AA,AX7AB,BV8AA,BV8AB
2000,ACCOMACK,51001,AL GORE,DEMOCRAT,5092,11925,2,NORTHUMBERLAND,LANCASTER,MIDDLESEX,MATHEWS,NORTHAMPTON,,,,,,,,38305.0,38305.0,18590.0,19715.0,36680.0,1625.0,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,7.0,5.0,150.0,117.0,112.0,8.0,0.0,1388.0,0.0,0.0,0.0,32.0,3.0,10.0,27.0,11.0,0.0,2.0,2.0,0.0,12.0,4.0,14.0,0.0,19.0,4.0,89.0,8.0,0.0,0.0,794.0,26.0,568.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078.0,19308.0,3508.0,18116.0,133.0,17983.0,16618.0,1365.0,11932.0,992.0,1744.0,3547.0,4795.0,6097.0,941.0,9542.0,130.0,9412.0,8743.0,669.0,4610.0,8574.0,3.0,8571.0,7875.0,696.0,7322.0,479.0,871.0,1883.0,2545.0,3201.0,563.0,513.0,873.0,1664.0,2250.0,2896.0,378.0,14839.0,256.0,256.0,0.0,0.0,0.0,422.0,333.0,454.0,919.0,2429.0,2813.0,2681.0,3206.0,1979.0,725.0,1098.0,364875.0,2186.0,1339.0,2799.0,8946.0,30250.0,846.0,757.0,1803.0,3781.0,3195.0,34821.0,16309.0,37715.0,6788.0,6788.0,30927.0,957.0,5291.0
2000,ACCOMACK,51001,GEORGE W. BUSH,REPUBLICAN,6352,11925,2,NORTHUMBERLAND,LANCASTER,MIDDLESEX,MATHEWS,NORTHAMPTON,,,,,,,,38305.0,38305.0,18590.0,19715.0,36680.0,1625.0,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,7.0,5.0,150.0,117.0,112.0,8.0,0.0,1388.0,0.0,0.0,0.0,32.0,3.0,10.0,27.0,11.0,0.0,2.0,2.0,0.0,12.0,4.0,14.0,0.0,19.0,4.0,89.0,8.0,0.0,0.0,794.0,26.0,568.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078.0,19308.0,3508.0,18116.0,133.0,17983.0,16618.0,1365.0,11932.0,992.0,1744.0,3547.0,4795.0,6097.0,941.0,9542.0,130.0,9412.0,8743.0,669.0,4610.0,8574.0,3.0,8571.0,7875.0,696.0,7322.0,479.0,871.0,1883.0,2545.0,3201.0,563.0,513.0,873.0,1664.0,2250.0,2896.0,378.0,14839.0,256.0,256.0,0.0,0.0,0.0,422.0,333.0,454.0,919.0,2429.0,2813.0,2681.0,3206.0,1979.0,725.0,1098.0,364875.0,2186.0,1339.0,2799.0,8946.0,30250.0,846.0,757.0,1803.0,3781.0,3195.0,34821.0,16309.0,37715.0,6788.0,6788.0,30927.0,957.0,5291.0
2000,ACCOMACK,51001,RALPH NADER,GREEN,220,11925,2,NORTHUMBERLAND,LANCASTER,MIDDLESEX,MATHEWS,NORTHAMPTON,,,,,,,,38305.0,38305.0,18590.0,19715.0,36680.0,1625.0,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,7.0,5.0,150.0,117.0,112.0,8.0,0.0,1388.0,0.0,0.0,0.0,32.0,3.0,10.0,27.0,11.0,0.0,2.0,2.0,0.0,12.0,4.0,14.0,0.0,19.0,4.0,89.0,8.0,0.0,0.0,794.0,26.0,568.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078.0,19308.0,3508.0,18116.0,133.0,17983.0,16618.0,1365.0,11932.0,992.0,1744.0,3547.0,4795.0,6097.0,941.0,9542.0,130.0,9412.0,8743.0,669.0,4610.0,8574.0,3.0,8571.0,7875.0,696.0,7322.0,479.0,871.0,1883.0,2545.0,3201.0,563.0,513.0,873.0,1664.0,2250.0,2896.0,378.0,14839.0,256.0,256.0,0.0,0.0,0.0,422.0,333.0,454.0,919.0,2429.0,2813.0,2681.0,3206.0,1979.0,725.0,1098.0,364875.0,2186.0,1339.0,2799.0,8946.0,30250.0,846.0,757.0,1803.0,3781.0,3195.0,34821.0,16309.0,37715.0,6788.0,6788.0,30927.0,957.0,5291.0
2000,ACCOMACK,51001,OTHER,OTHER,261,11925,2,NORTHUMBERLAND,LANCASTER,MIDDLESEX,MATHEWS,NORTHAMPTON,,,,,,,,38305.0,38305.0,18590.0,19715.0,36680.0,1625.0,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,7.0,5.0,150.0,117.0,112.0,8.0,0.0,1388.0,0.0,0.0,0.0,32.0,3.0,10.0,27.0,11.0,0.0,2.0,2.0,0.0,12.0,4.0,14.0,0.0,19.0,4.0,89.0,8.0,0.0,0.0,794.0,26.0,568.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078.0,19308.0,3508.0,18116.0,133.0,17983.0,16618.0,1365.0,11932.0,992.0,1744.0,3547.0,4795.0,6097.0,941.0,9542.0,130.0,9412.0,8743.0,669.0,4610.0,8574.0,3.0,8571.0,7875.0,696.0,7322.0,479.0,871.0,1883.0,2545.0,3201.0,563.0,513.0,873.0,1664.0,2250.0,2896.0,378.0,14839.0,256.0,256.0,0.0,0.0,0.0,422.0,333.0,454.0,919.0,2429.0,2813.0,2681.0,3206.0,1979.0,725.0,1098.0,364875.0,2186.0,1339.0,2799.0,8946.0,30250.0,846.0,757.0,1803.0,3781.0,3195.0,34821.0,16309.0,37715.0,6788.0,6788.0,30927.0,957.0,5291.0
2004,ACCOMACK,51001,JOHN KERRY,DEMOCRAT,5518,13356,2,NORTHUMBERLAND,LANCASTER,MIDDLESEX,MATHEWS,NORTHAMPTON,,,,,,,,38305.0,38305.0,18590.0,19715.0,36680.0,1625.0,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,7.0,5.0,150.0,117.0,112.0,8.0,0.0,1388.0,0.0,0.0,0.0,32.0,3.0,10.0,27.0,11.0,0.0,2.0,2.0,0.0,12.0,4.0,14.0,0.0,19.0,4.0,89.0,8.0,0.0,0.0,794.0,26.0,568.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078.0,19308.0,3508.0,18116.0,133.0,17983.0,16618.0,1365.0,11932.0,992.0,1744.0,3547.0,4795.0,6097.0,941.0,9542.0,130.0,9412.0,8743.0,669.0,4610.0,8574.0,3.0,8571.0,7875.0,696.0,7322.0,479.0,871.0,1883.0,2545.0,3201.0,563.0,513.0,873.0,1664.0,2250.0,2896.0,378.0,14839.0,256.0,256.0,0.0,0.0,0.0,422.0,333.0,454.0,919.0,2429.0,2813.0,2681.0,3206.0,1979.0,725.0,1098.0,364875.0,2186.0,1339.0,2799.0,8946.0,30250.0,846.0,757.0,1803.0,3781.0,3195.0,34821.0,16309.0,37715.0,6788.0,6788.0,30927.0,957.0,5291.0
2004,ACCOMACK,51001,GEORGE W. BUSH,REPUBLICAN,7726,13356,2,NORTHUMBERLAND,LANCASTER,MIDDLESEX,MATHEWS,NORTHAMPTON,,,,,,,,38305.0,38305.0,18590.0,19715.0,36680.0,1625.0,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,7.0,5.0,150.0,117.0,112.0,8.0,0.0,1388.0,0.0,0.0,0.0,32.0,3.0,10.0,27.0,11.0,0.0,2.0,2.0,0.0,12.0,4.0,14.0,0.0,19.0,4.0,89.0,8.0,0.0,0.0,794.0,26.0,568.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078.0,19308.0,3508.0,18116.0,133.0,17983.0,16618.0,1365.0,11932.0,992.0,1744.0,3547.0,4795.0,6097.0,941.0,9542.0,130.0,9412.0,8743.0,669.0,4610.0,8574.0,3.0,8571.0,7875.0,696.0,7322.0,479.0,871.0,1883.0,2545.0,3201.0,563.0,513.0,873.0,1664.0,2250.0,2896.0,378.0,14839.0,256.0,256.0,0.0,0.0,0.0,422.0,333.0,454.0,919.0,2429.0,2813.0,2681.0,3206.0,1979.0,725.0,1098.0,364875.0,2186.0,1339.0,2799.0,8946.0,30250.0,846.0,757.0,1803.0,3781.0,3195.0,34821.0,16309.0,37715.0,6788.0,6788.0,30927.0,957.0,5291.0
2004,ACCOMACK,51001,OTHER,OTHER,112,13356,2,NORTHUMBERLAND,LANCASTER,MIDDLESEX,MATHEWS,NORTHAMPTON,,,,,,,,38305.0,38305.0,18590.0,19715.0,36680.0,1625.0,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,,22535.0,13983.0,4495.0,963.0,8010.0,515.0,162.0,7.0,5.0,150.0,117.0,112.0,8.0,0.0,1388.0,0.0,0.0,0.0,32.0,3.0,10.0,27.0,11.0,0.0,2.0,2.0,0.0,12.0,4.0,14.0,0.0,19.0,4.0,89.0,8.0,0.0,0.0,794.0,26.0,568.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078.0,19308.0,3508.0,18116.0,133.0,17983.0,16618.0,1365.0,11932.0,992.0,1744.0,3547.0,4795.0,6097.0,941.0,9542.0,130.0,9412.0,8743.0,669.0,4610.0,8574.0,3.0,8571.0,7875.0,696.0,7322.0,479.0,871.0,1883.0,2545.0,3201.0,563.0,513.0,873.0,1664.0,2250.0,2896.0,378.0,14839.0,256.0,256.0,0.0,0.0,0.0,422.0,333.0,454.0,919.0,2429.0,2813.0,2681.0,3206.0,1979.0,725.0,1098.0,364875.0,2186.0,1339.0,2799.0,8946.0,30250.0,846.0,757.0,1803.0,3781.0,3195.0,34821.0,16309.0,37715.0,6788.0,6788.0,30927.0,957.0,5291.0
2008,ACCOMACK,51001,BARACK OBAMA,DEMOCRAT,7607,15623,2,NORTHUMBERLAND,LANCASTER,MIDDLESEX,MATHEWS,NORTHAMPTON,,,,,,,,33454.0,33454.0,16230.0,17224.0,31192.0,2262.0,18212.0,12696.0,4684.0,975.0,6270.0,767.0,284.0,,18212.0,12696.0,4684.0,975.0,6270.0,767.0,284.0,156.0,0.0,128.0,143.0,136.0,0.0,11.0,1972.0,,0.0,0.0,61.0,0.0,3.0,55.0,3.0,7.0,3.0,0.0,0.0,0.0,3.0,6.0,2.0,7.0,0.0,129.0,0.0,11.0,0.0,1213.0,44.0,715.0,,0.0,0.0,0.0,0.0,61.0,0.0,3.0,55.0,3.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,7.0,0.0,129.0,0.0,11.0,0.0,1213.0,44.0,715.0,,1642.0,18024.0,4212.0,16037.0,104.0,15933.0,14812.0,1121.0,10973.0,417.0,1369.0,2822.0,3178.0,7259.0,992.0,8424.0,85.0,8339.0,7698.0,641.0,4409.0,7613.0,19.0,7594.0,7114.0,480.0,6564.0,163.0,844.0,1611.0,1658.0,3593.0,555.0,254.0,525.0,1211.0,1520.0,3666.0,437.0,13372.0,104.0,96.0,8.0,0.0,0.0,480.0,229.0,380.0,985.0,1570.0,3086.0,1717.0,3409.0,2075.0,502.0,841.0,297405.0,1762.0,1058.0,1913.0,9553.0,40780.0,503.0,422.0,978.0,2649.0,4604.0,50250.0,22909.0,33012.0,6678.0,6678.0,26334.0,1002.0,5147.0
2008,ACCOMACK,51001,JOHN MCCAIN,REPUBLICAN,7833,15623,2,NORTHUMBERLAND,LANCASTER,MIDDLESEX,MATHEWS,NORTHAMPTON,,,,,,,,33454.0,33454.0,16230.0,17224.0,31192.0,2262.0,18212.0,12696.0,4684.0,975.0,6270.0,767.0,284.0,,18212.0,12696.0,4684.0,975.0,6270.0,767.0,284.0,156.0,0.0,128.0,143.0,136.0,0.0,11.0,1972.0,,0.0,0.0,61.0,0.0,3.0,55.0,3.0,7.0,3.0,0.0,0.0,0.0,3.0,6.0,2.0,7.0,0.0,129.0,0.0,11.0,0.0,1213.0,44.0,715.0,,0.0,0.0,0.0,0.0,61.0,0.0,3.0,55.0,3.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,7.0,0.0,129.0,0.0,11.0,0.0,1213.0,44.0,715.0,,1642.0,18024.0,4212.0,16037.0,104.0,15933.0,14812.0,1121.0,10973.0,417.0,1369.0,2822.0,3178.0,7259.0,992.0,8424.0,85.0,8339.0,7698.0,641.0,4409.0,7613.0,19.0,7594.0,7114.0,480.0,6564.0,163.0,844.0,1611.0,1658.0,3593.0,555.0,254.0,525.0,1211.0,1520.0,3666.0,437.0,13372.0,104.0,96.0,8.0,0.0,0.0,480.0,229.0,380.0,985.0,1570.0,3086.0,1717.0,3409.0,2075.0,502.0,841.0,297405.0,1762.0,1058.0,1913.0,9553.0,40780.0,503.0,422.0,978.0,2649.0,4604.0,50250.0,22909.0,33012.0,6678.0,6678.0,26334.0,1002.0,5147.0
2008,ACCOMACK,51001,OTHER,OTHER,183,15623,2,NORTHUMBERLAND,LANCASTER,MIDDLESEX,MATHEWS,NORTHAMPTON,,,,,,,,33454.0,33454.0,16230.0,17224.0,31192.0,2262.0,18212.0,12696.0,4684.0,975.0,6270.0,767.0,284.0,,18212.0,12696.0,4684.0,975.0,6270.0,767.0,284.0,156.0,0.0,128.0,143.0,136.0,0.0,11.0,1972.0,,0.0,0.0,61.0,0.0,3.0,55.0,3.0,7.0,3.0,0.0,0.0,0.0,3.0,6.0,2.0,7.0,0.0,129.0,0.0,11.0,0.0,1213.0,44.0,715.0,,0.0,0.0,0.0,0.0,61.0,0.0,3.0,55.0,3.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,7.0,0.0,129.0,0.0,11.0,0.0,1213.0,44.0,715.0,,1642.0,18024.0,4212.0,16037.0,104.0,15933.0,14812.0,1121.0,10973.0,417.0,1369.0,2822.0,3178.0,7259.0,992.0,8424.0,85.0,8339.0,7698.0,641.0,4409.0,7613.0,19.0,7594.0,7114.0,480.0,6564.0,163.0,844.0,1611.0,1658.0,3593.0,555.0,254.0,525.0,1211.0,1520.0,3666.0,437.0,13372.0,104.0,96.0,8.0,0.0,0.0,480.0,229.0,380.0,985.0,1570.0,3086.0,1717.0,3409.0,2075.0,502.0,841.0,297405.0,1762.0,1058.0,1913.0,9553.0,40780.0,503.0,422.0,978.0,2649.0,4604.0,50250.0,22909.0,33012.0,6678.0,6678.0,26334.0,1002.0,5147.0
